 -0.104,0.043,0.987,-0.08,1.87,2.00
 -0.105,0.042,0.992,-1.32,2.87,1.02
 -0.103,0.042,0.992,0.06,1.59,1.57
 -0.107,0.043,0.992,0.17,1.43,1.70
 -0.111,0.041,0.993,-1.27,1.93,-0.02
 -0.107,0.039,0.994,-1.89,0.82,1.70
 -0.112,0.036,0.992,-2.93,0.45,1.84
 -0.110,0.040,0.994,-1.32,-1.00,-1.98
 -0.107,0.038,0.991,-1.92,0.04,-6.86
 -0.109,0.041,0.993,-0.49,0.40,-1.82
 -0.106,0.036,0.992,-1.99,-0.92,0.50
 -0.105,0.039,0.993,1.75,-1.77,0.37
 -0.109,0.040,0.992,1.67,-0.14,4.26
 -0.110,0.038,0.991,-0.36,-0.53,-0.39
 -0.107,0.040,0.990,-0.74,-0.13,-1.14
 -0.112,0.043,0.991,0.21,2.21,-0.31
 -0.107,0.040,0.993,-0.24,1.01,-2.11
 -0.106,0.040,0.992,-1.41,0.55,-4.99
 -0.109,0.038,0.994,-1.55,1.91,-1.16
 -0.109,0.043,0.991,-1.16,0.50,-1.21
 -0.106,0.037,0.988,-1.45,-1.11,-0.63
 -0.107,0.038,0.994,-1.65,0.67,2.25
 -0.109,0.036,0.993,-1.23,-0.39,0.01
 -0.107,0.034,0.989,-2.11,-1.54,1.00
 -0.109,0.037,0.991,-0.94,0.64,1.48
 -0.110,0.036,0.991,1.11,0.47,1.50
 -0.110,0.034,0.991,-0.27,-0.52,1.71
 -0.108,0.037,0.992,0.16,0.53,3.07
 -0.106,0.036,0.991,-1.17,1.35,-0.07
 -0.108,0.037,0.990,-3.17,0.55,-3.80
 -0.108,0.035,0.992,-1.18,-1.21,-0.64
 -0.112,0.034,0.991,1.33,0.32,1.25
 -0.109,0.038,0.992,0.94,-1.15,3.95
 -0.108,0.031,0.990,-0.96,0.60,-1.71
 -0.107,0.032,0.992,-0.59,-0.97,-1.67
 -0.107,0.034,0.991,-1.93,-2.00,0.46
 -0.105,0.030,0.991,0.85,-1.94,-1.50
 -0.107,0.031,0.994,-1.30,-2.02,-1.69
 -0.106,0.030,0.992,-0.97,-0.96,-0.94
 -0.104,0.027,0.988,-1.88,-0.01,1.87
 -0.106,0.031,0.989,-0.20,0.22,-0.18
 -0.104,0.026,0.992,-0.40,-0.90,2.14
 -0.108,0.028,0.992,2.37,0.83,-2.19
 -0.103,0.029,0.992,0.57,-0.49,-3.98
 -0.105,0.029,0.995,-0.66,-3.40,-0.84
 -0.099,0.031,0.992,1.98,-0.29,-1.86
 -0.105,0.031,0.994,0.50,-1.38,0.91
 -0.103,0.031,0.993,1.26,0.54,0.54
 -0.106,0.028,0.990,-0.85,2.84,-5.12
 -0.104,0.030,0.993,1.81,-0.46,-0.14
 -0.103,0.033,0.991,1.87,-0.69,3.06
 -0.100,0.028,0.991,-3.24,-2.53,-0.82
 -0.094,0.024,0.987,-4.81,-3.26,0.94
 -0.076,0.006,0.978,-11.23,-5.84,0.62
 -0.082,-0.015,1.010,-29.61,-12.20,0.14
 -0.039,-0.100,1.024,-43.30,-29.10,3.12
 -0.049,-0.121,0.985,-65.39,-8.44,-2.96
 -0.061,-0.177,1.008,-77.62,13.95,-9.64
 -0.077,-0.242,0.980,-64.62,4.36,0.78
 -0.063,-0.299,0.946,-42.20,-0.52,5.28
 -0.061,-0.311,0.962,-27.57,5.37,3.09
